Country,Year,Count,Count_median,Count_min,Count_max,WHO Region,,Total
Afghanistan,2018,500[200–610],500,200,610,Eastern Mediterranean,,1100
Albania,2018,na,,,,Europe,,0
Algeria,2018,200[200–200],200,200,200,Africa,,500
Angola,2018,14000[9500–18000],14000,9500,18000,Africa,,28800
Argentina,2018,1700[1300–2100],1700,1300,2100,Americas,,4700
Armenia,2018,200[100–200],200,100,200,Europe,,500
Australia,2018,200[200–500],200,200,500,Western Pacific,,1200
Austria,2018,na,,,,Europe,,0
Azerbaijan,2018,na,,,,Europe,,0
Bahamas,2018,200[200–500],200,200,500,Americas,,900
Bahrain,2018,na,,,,Eastern Mediterranean,,0
Bangladesh,2018,580[500–680],580,500,680,South-East Asia,,1180
Barbados,2018,100[100–100],100,100,100,Americas,,300
Belarus,2018,500[200–500],500,200,500,Europe,,800
Belgium,2018,na,,,,Europe,,0
Belize,2018,200[200–500],200,200,500,Americas,,500
Benin,2018,2200[1100–4400],2200,1100,4400,Africa,,6600
Bhutan,2018,100[100–200],100,100,200,South-East Asia,,300
Bolivia (Plurinational State of),2018,670[550–760],670,550,760,Americas,,2940
Bosnia and Herzegovina,2018,100[100–100],100,100,100,Europe,,300
Botswana,2018,4800[4100–5700],4800,4100,5700,Africa,,27100
Brazil,2018,15000[11000–19000],15000,11000,19000,Americas,,45000
Brunei Darussalam,2018,na,,,,Western Pacific,,0
Bulgaria,2018,100[100–100],100,100,100,Europe,,300
Burkina Faso,2018,3300[2400–4400],3300,2400,4400,Africa,,20100
Burundi,2018,1900[1400–2500],1900,1400,2500,Africa,,18100
Cabo Verde,2018,100[100–100],100,100,100,Africa,,400
Cambodia,2018,1300[920–1900],1300,920,1900,Western Pacific,,8300
Cameroon,2018,18000[15000–21000],18000,15000,21000,Africa,,59000
Canada,2018,na,,,,Americas,,0
Central African Republic,2018,4800[3700–6400],4800,3700,6400,Africa,,23600
Chad,2018,3100[2000–4500],3100,2000,4500,Africa,,12200
Chile,2018,590[500–770],590,500,770,Americas,,590
China,2018,na,,,,Western Pacific,,0
Colombia,2018,na,,,,Americas,,0
Comoros,2018,100[100–100],100,100,100,Africa,,300
Congo,2018,4000[2800–5400],4000,2800,5400,Americas,,14000
Costa Rica,2018,500[200–500],500,200,500,Americas,,1500
Côte d'Ivoire,2018,16000[11000–23000],16000,11000,23000,Africa,,84000
Croatia,2018,100[100–100],100,100,100,Europe,,300
Cuba,2018,500[500–580],500,500,580,Americas,,1200
Cyprus,2018,na,,,,Europe,,0
Czechia,2018,100[100–100],100,100,100,Europe,,300
Democratic People's Republic of Korea,2018,na,,,,Western Pacific,,0
Democratic Republic of the Congo,2018,13000[10000–17000],13000,10000,17000,Africa,,90000
Denmark,2018,100[100–100],100,100,100,Europe,,300
Djibouti,2018,500[500–550],500,500,550,Eastern Mediterranean,,1630
Dominican Republic,2018,1200[750–1900],1200,750,1900,Americas,,9000
Ecuador,2018,620[500–1500],620,500,1500,Americas,,3220
Egypt,2018,500[500–500],500,500,500,Eastern Mediterranean,,800
El Salvador,2018,700[500–1000],700,500,1000,Americas,,2010
Equatorial Guinea,2018,1800[1200–2600],1800,1200,2600,Africa,,3880
Eritrea,2018,500[500–890],500,500,890,Africa,,2220
Estonia,2018,100[100–200],100,100,200,Europe,,400
Eswatini,2018,2400[2000–2900],2400,2000,2900,Africa,,11200
Ethiopia,2018,11000[6800–19000],11000,6800,19000,Africa,,89000
Fiji,2018,na,,,,Western Pacific,,0
Finland,2018,100[100–100],100,100,100,Europe,,300
France,2018,500[500–540],500,500,540,Europe,,1980
Gabon,2018,1200[790–1700],1200,790,1700,Africa,,4400
Gambia,2018,980[650–1400],980,650,1400,Africa,,2450
Georgia,2018,500[200–500],500,200,500,Europe,,700
Germany,2018,500[500–670],500,500,670,Europe,,1880
Ghana,2018,14000[11000–18000],14000,11000,18000,Africa,,49000
Greece,2018,na,,,,Europe,,0
Guatemala,2018,2200[2000–2400],2200,2000,2400,Americas,,6300
Guinea,2018,4300[3300–5400],4300,3300,5400,Africa,,13400
Guinea-Bissau,2018,1800[1400–2100],1800,1400,2100,Africa,,4800
Guyana,2018,200[100–200],200,100,200,Americas,,400
Haiti,2018,2700[2200–3600],2700,2200,3600,Americas,,19600
Honduras,2018,780[540–1100],780,540,1100,Americas,,5380
Hungary,2018,100[100–100],100,100,100,Europe,,300
Iceland,2018,100[100–100],100,100,100,Europe,,300
India,2018,na,,,,South-East Asia,,0
Indonesia,2018,38000[33000–43000],38000,33000,43000,South-East Asia,,63900
Iran (Islamic Republic of),2018,2600[1400–5100],2600,1400,5100,Eastern Mediterranean,,5500
Ireland,2018,100[100–100],100,100,100,Europe,,300
Israel,2018,100[100–100],100,100,100,Europe,,300
Italy,2018,710[510–930],710,510,930,Europe,,2740
Jamaica,2018,1500[1300–1800],1500,1300,1800,Americas,,5700
Japan,2018,na,,,,Western Pacific,,0
Jordan,2018,100[100–100],100,100,100,Eastern Mediterranean,,300
Kazakhstan,2018,500[500–530],500,500,530,Europe,,1100
Kenya,2018,25000[18000–38000],25000,18000,38000,Africa,,201000
Kuwait,2018,100[100–100],100,100,100,Eastern Mediterranean,,300
Kyrgyzstan,2018,200[200–500],200,200,500,Europe,,500
Lao People's Democratic Republic,2018,500[500–500],500,500,500,Western Pacific,,1100
Latvia,2018,100[100–100],100,100,100,Europe,,400
Lebanon,2018,100[100–100],100,100,100,Eastern Mediterranean,,300
Lesotho,2018,6100[5000–7600],6100,5000,7600,Africa,,25300
Liberia,2018,1800[1700–1900],1800,1700,1900,Africa,,7500
Libya,2018,200[200–200],200,200,200,Eastern Mediterranean,,400
Lithuania,2018,na,,,,Europe,,0
Luxembourg,2018,100[100–100],100,100,100,Europe,,300
Madagascar,2018,1700[1200–2300],1700,1200,2300,Africa,,3600
Malawi,2018,13000[11000–16000],13000,11000,16000,Africa,,99000
Malaysia,2018,2600[2100–3300],2600,2100,3300,Western Pacific,,8200
Maldives,2018,na,,,,South-East Asia,,0
Mali,2018,6500[5000–8700],6500,5000,8700,Africa,,19500
Malta,2018,na,,,,Europe,,0
Mauritania,2018,500[200–500],500,200,500,Africa,,1500
Mauritius,2018,610[500–820],610,500,820,Africa,,1210
Mexico,2018,na,,,,Americas,,0
Mongolia,2018,100[100–100],100,100,100,Western Pacific,,300
Montenegro,2018,100[100–100],100,100,100,Europe,,300
Morocco,2018,500[500–600],500,500,600,Eastern Mediterranean,,1550
Mozambique,2018,54000[39000–73000],54000,39000,73000,Africa,,158000
Myanmar,2018,7800[5900–11000],7800,5900,11000,South-East Asia,,24600
Namibia,2018,2700[2300–3200],2700,2300,3200,Africa,,13500
Nepal,2018,910[700–1200],910,700,1200,South-East Asia,,2810
Netherlands,2018,na,,,,Europe,,400
New Zealand,2018,100[100–100],100,100,100,Western Pacific,,300
Nicaragua,2018,200[200–500],200,200,500,Americas,,800
Niger,2018,1200[970–1700],1200,970,1700,Africa,,5200
Nigeria,2018,53000[31000–89000],53000,31000,89000,Africa,,203000
Norway,2018,100[100–100],100,100,100,Europe,,300
Oman,2018,100[100–100],100,100,100,Eastern Mediterranean,,300
Pakistan,2018,6400[5200–7600],6400,5200,7600,Eastern Mediterranean,,7900
Panama,2018,500[500–530],500,500,530,Americas,,1500
Papua New Guinea,2018,na,,,,Western Pacific,,0
Paraguay,2018,720[500–1200],720,500,1200,Americas,,2010
Peru,2018,1000[650–1900],1000,650,1900,Americas,,8200
Philippines,2018,1200[800–1700],1200,800,1700,Western Pacific,,1800
Poland,2018,na,,,,Europe,,0
Portugal,2018,500[500–500],500,500,500,Europe,,2530
Qatar,2018,na,,,,Eastern Mediterranean,,0
Republic of Korea,2018,na,,,,Western Pacific,,0
Republic of Moldova,2018,570[500–860],570,500,860,Europe,,1810
Republic of North Macedonia,2018,100[100–100],100,100,100,Europe,,300
Romania,2018,200[100–200],200,100,200,Europe,,900
Russian Federation,2018,na,,,,Europe,,0
Rwanda,2018,2900[2400–3500],2900,2400,3500,Africa,,26600
Saudi Arabia,2018,na,,,,Eastern Mediterranean,,0
Senegal,2018,1300[1000–1600],1300,1000,1600,Africa,,4300
Serbia,2018,100[100–100],100,100,100,Europe,,400
Sierra Leone,2018,2100[1600–2800],2100,1600,2800,Africa,,7400
Singapore,2018,100[100–100],100,100,100,Western Pacific,,200
Slovakia,2018,100[100–100],100,100,100,Europe,,300
Slovenia,2018,100[100–100],100,100,100,Europe,,300
Somalia,2018,710[530–1000],710,530,1000,Eastern Mediterranean,,2920
South Africa,2018,71000[52000–91000],71000,52000,91000,Africa,,311000
South Sudan,2018,9900[6900–13000],9900,6900,13000,Africa,,24800
Spain,2018,na,,,,Europe,,3100
Sri Lanka,2018,200[200–500],200,200,500,South-East Asia,,800
Sudan,2018,2900[1400–5200],2900,1400,5200,Eastern Mediterranean,,5450
Suriname,2018,100[100–200],100,100,200,Americas,,500
Sweden,2018,na,,,,Europe,,0
Switzerland,2018,na,,,,Europe,,0
Syrian Arab Republic,2018,100[100–100],100,100,100,Eastern Mediterranean,,300
Tajikistan,2018,500[500–500],500,500,500,Europe,,1100
Thailand,2018,18000[13000–26000],18000,13000,26000,South-East Asia,,99000
Timor-Leste,2018,na,,,,South-East Asia,,0
Togo,2018,3800[3300–4200],3800,3300,4200,Africa,,15100
Trinidad and Tobago,2018,na,,,,Americas,,0
Tunisia,2018,100[100–200],100,100,200,Eastern Mediterranean,,300
Turkey,2018,na,,,,Europe,,0
Turkmenistan,2018,na,,,,Europe,,0
Uganda,2018,23000[19000–31000],23000,19000,31000,Africa,,164000
Ukraine,2018,6100[4700–8000],6100,4700,8000,Europe,,22600
United Arab Emirates,2018,na,,,,Eastern Mediterranean,,0
United Kingdom of Great Britain and Northern Ireland,2018,na,,,,Europe,,0
United Republic of Tanzania,2018,24000[20000–29000],24000,20000,29000,Africa,,152000
United States of America,2018,na,,,,Americas,,0
Uruguay,2018,200[100–500],200,100,500,Americas,,1200
Uzbekistan,2018,1300[1100–1500],1300,1100,1500,Europe,,3940
Venezuela (Bolivarian Republic of),2018,na,,,,Americas,,0
Viet Nam,2018,4700[3200–6200],4700,3200,6200,Western Pacific,,19300
Yemen,2018,500[200–520],500,200,520,Eastern Mediterranean,,800
Zambia,2018,17000[13000–22000],17000,13000,22000,Africa,,105000
Zimbabwe,2018,22000[17000–27000],22000,17000,27000,Africa,,196000
Afghanistan,2010,500[200–500],500,200,500,Eastern Mediterranean,,1100
Albania,2010,na,,,,Europe,,0
Algeria,2010,200[100–200],200,100,200,Africa,,500
Angola,2010,10000[7300–13000],10000,7300,13000,Africa,,28800
Argentina,2010,1600[1300–2000],1600,1300,2000,Americas,,4700
Armenia,2010,200[200–200],200,200,200,Europe,,500
Australia,2010,500[200–500],500,200,500,Western Pacific,,1200
Austria,2010,na,,,,Europe,,0
Azerbaijan,2010,na,,,,Europe,,0
Bahamas,2010,200[200–500],200,200,500,Americas,,900
Bahrain,2010,na,,,,Eastern Mediterranean,,0
Bangladesh,2010,500[500–500],500,500,500,South-East Asia,,1180
Barbados,2010,100[100–100],100,100,100,Americas,,300
Belarus,2010,200[100–500],200,100,500,Europe,,800
Belgium,2010,na,,,,Europe,,0
Belize,2010,200[100–200],200,100,200,Americas,,500
Benin,2010,2000[980–4100],2000,980,4100,Africa,,6600
Bhutan,2010,100[100–500],100,100,500,South-East Asia,,300
Bolivia (Plurinational State of),2010,1600[1500–1800],1600,1500,1800,Americas,,2940
Bosnia and Herzegovina,2010,100[100–100],100,100,100,Europe,,300
Botswana,2010,7300[6500–8000],7300,6500,8000,Africa,,27100
Brazil,2010,15000[11000–19000],15000,11000,19000,Americas,,45000
Brunei Darussalam,2010,na,,,,Western Pacific,,0
Bulgaria,2010,100[100–100],100,100,100,Europe,,300
Burkina Faso,2010,4800[3600–6300],4800,3600,6300,Africa,,20100
Burundi,2010,5200[4100–6400],5200,4100,6400,Africa,,18100
Cabo Verde,2010,100[100–100],100,100,100,Africa,,400
Cambodia,2010,2500[1900–3400],2500,1900,3400,Western Pacific,,8300
Cameroon,2010,22000[19000–25000],22000,19000,25000,Africa,,59000
Canada,2010,na,,,,Americas,,0
Central African Republic,2010,7800[6400–9400],7800,6400,9400,Africa,,23600
Chad,2010,3500[2600–4800],3500,2600,4800,Africa,,12200
Chile,2010,na,,,,Americas,,590
China,2010,na,,,,Western Pacific,,0
Colombia,2010,na,,,,Americas,,0
Comoros,2010,100[100–100],100,100,100,Africa,,300
Congo,2010,3900[3100–4800],3900,3100,4800,Americas,,14000
Costa Rica,2010,500[200–500],500,200,500,Americas,,1500
Côte d'Ivoire,2010,24000[17000–34000],24000,17000,34000,Africa,,84000
Croatia,2010,100[100–100],100,100,100,Europe,,300
Cuba,2010,500[200–500],500,200,500,Americas,,1200
Cyprus,2010,na,,,,Europe,,0
Czechia,2010,100[100–100],100,100,100,Europe,,300
Democratic People's Republic of Korea,2010,na,,,,Western Pacific,,0
Democratic Republic of the Congo,2010,34000[27000–40000],34000,27000,40000,Africa,,90000
Denmark,2010,100[100–100],100,100,100,Europe,,300
Djibouti,2010,630[500–780],630,500,780,Eastern Mediterranean,,1630
Dominican Republic,2010,3000[2100–4300],3000,2100,4300,Americas,,9000
Ecuador,2010,1100[520–2200],1100,520,2200,Americas,,3220
Egypt,2010,200[200–500],200,200,500,Eastern Mediterranean,,800
El Salvador,2010,500[500–730],500,500,730,Americas,,2010
Equatorial Guinea,2010,1400[970–1900],1400,970,1900,Africa,,3880
Eritrea,2010,620[500–980],620,500,980,Africa,,2220
Estonia,2010,200[200–200],200,200,200,Europe,,400
Eswatini,2010,3800[3400–4200],3800,3400,4200,Africa,,11200
Ethiopia,2010,20000[12000–35000],20000,12000,35000,Africa,,89000
Fiji,2010,na,,,,Western Pacific,,0
Finland,2010,100[100–100],100,100,100,Europe,,300
France,2010,600[500–780],600,500,780,Europe,,1980
Gabon,2010,1600[1100–2100],1600,1100,2100,Africa,,4400
Gambia,2010,970[660–1400],970,660,1400,Africa,,2450
Georgia,2010,100[100–100],100,100,100,Europe,,700
Germany,2010,500[500–720],500,500,720,Europe,,1880
Ghana,2010,17000[14000–19000],17000,14000,19000,Africa,,49000
Greece,2010,na,,,,Europe,,0
Guatemala,2010,1700[1500–1900],1700,1500,1900,Americas,,6300
Guinea,2010,4100[3300–5000],4100,3300,5000,Africa,,13400
Guinea-Bissau,2010,1900[1500–2200],1900,1500,2200,Africa,,4800
Guyana,2010,100[100–200],100,100,200,Americas,,400
Haiti,2010,4900[3800–6600],4900,3800,6600,Americas,,19600
Honduras,2010,1400[990–1800],1400,990,1800,Americas,,5380
Hungary,2010,100[100–100],100,100,100,Europe,,300
Iceland,2010,100[100–100],100,100,100,Europe,,300
India,2010,na,,,,South-East Asia,,0
Indonesia,2010,24000[19000–28000],24000,19000,28000,South-East Asia,,63900
Iran (Islamic Republic of),2010,2400[1700–3500],2400,1700,3500,Eastern Mediterranean,,5500
Ireland,2010,100[100–100],100,100,100,Europe,,300
Israel,2010,100[100–100],100,100,100,Europe,,300
Italy,2010,830[620–1100],830,620,1100,Europe,,2740
Jamaica,2010,1800[1500–2100],1800,1500,2100,Americas,,5700
Japan,2010,na,,,,Western Pacific,,0
Jordan,2010,100[100–100],100,100,100,Eastern Mediterranean,,300
Kazakhstan,2010,500[500–500],500,500,500,Europe,,1100
Kenya,2010,56000[41000–86000],56000,41000,86000,Africa,,201000
Kuwait,2010,100[100–100],100,100,100,Eastern Mediterranean,,300
Kyrgyzstan,2010,200[100–200],200,100,200,Europe,,500
